Switch: 3912_Kaiser [ 1 ]

GEO addr  Name (>20 ..)            Rx Pwr(dBm)  Conn Type  GEO addr  Name (>20 ..)            Rx Pwr(dBm)  Speed    Protocol
--------  -----------------------  -----------  ---------  --------  -----------------------  -----------  -------  --------
01.03.13  01.03.13-6509e-1-g9. ..  -7.086311    Duplex     01.11.36  01.11.36                 -5.635193    1000     Ethernet
01.03.37  01.03.37-4506e-1-g3. ..  -6.491707    Duplex     01.03.14  01.03.14-6509e-1-g9. ..  -5.492891    1000     Ethernet
01.03.38  01.03.38-4506e-1-g3. ..  -5.882120    Duplex     01.09.27  01.09.27                 -5.652715    1000     Ethernet
01.03.40  01.03.40-4506e-2-g3. ..  -6.655462    Duplex     01.08.24  01.08.24-2951-2-g0.2     Not Present  1000     Ethernet
01.04.30  01.04.30-6504e-2t-1- ..  -2.495688    Duplex     01.07.44  01.07.44-N9396PX-2-e ..  -2.496459    10000    Ethernet
01.05.19  01.05.19-7k-4-e3.27      -2.347786    Duplex     01.11.43  01.11.43                 -2.243896    10000    Ethernet
01.05.41  01.05.41-SH7070-1-.3     -8.992849    Duplex     01.12.17  01.12.17                 -4.847887    1000     Ethernet
01.05.43  01.05.43-SH7070-2-1. ..  -6.897316    Duplex     01.06.36  01.06.36-Pa-5060-2-1 ..  -7.864822    1000     Ethernet
01.05.47  01.05.47-XM12-te2.3      -2.784367    Duplex     01.04.05  01.04.05-6807-1-te5. ..  -2.295162    10000    Ethernet
01.06.09  01.06.09-NX2232PP-1- ..  -2.832456    Duplex     01.09.06  01.09.06                 -30.969100   10000    Ethernet
01.06.10  01.06.10-NX2232PP-1- ..  -3.158731    Duplex     01.09.04  01.09.04                 -31.549020   10000    Ethernet
01.07.40  01.07.40-6504e-2t-2- ..  -2.805030    Duplex     01.07.45  01.07.45-6880-x-1-te ..  -2.662412    10000    Ethernet
01.07.47  01.07.47-XM12-te2.7      -2.436682    Duplex     01.04.01  01.04.01-6807-1-te5. ..  -2.498775    10000    Ethernet
01.08.41  01.08.41-3850-4-g1.0 ..  -6.223296    Duplex     01.12.07  01.12.07                 -4.131877    1000     Ethernet
01.09.03  01.09.03                 -29.586073   Duplex     01.09.16  01.09.16                 -2.156681    10000    Ethernet
01.09.18  01.09.18                 -1.963381    Duplex     01.09.05  01.09.05                 -30.000000   10000    Ethernet
01.09.28  01.09.28                 -7.068585    Duplex     01.12.24  01.12.24                 -4.597957    1000     Ethernet
01.09.35  01.09.35                 -2.705112    Duplex     01.10.15  01.10.15                 -2.298110    10000    Ethernet
01.09.37  01.09.37                 -2.576677    Duplex     01.10.17  01.10.17                 -3.048687    10000    Ethernet
01.10.01  01.10.01                 -2.585332    Duplex     01.07.37  01.07.37-6504e-2t-te ..  -2.575891    10000    Ethernet
01.10.02  01.10.02                 -2.870979    Duplex     01.07.38  01.07.38-6504e-2t-1- ..  -2.920893    10000    Ethernet
01.10.09  01.10.09                 -2.951634    Duplex     01.04.29  01.04.29-6504e-2t-1- ..  -2.651202    10000    Ethernet
01.10.10  01.10.10                 -3.016384    Duplex     01.10.03  01.10.03                 -2.564902    10000    Ethernet
01.10.29  01.10.29                 -6.767479    Duplex     01.09.01  01.09.01                 -7.344747    1000     Ethernet
01.11.44  01.11.44                 -2.498003    Duplex     01.07.39  01.07.39-6504e-2t-te ..  -5.605094    10000    Ethernet
01.11.45  01.11.45                 -3.184874    Duplex     01.12.18  01.12.18                 -4.384216    1000     Ethernet
01.12.12  01.12.12                 -5.320961    Duplex     01.06.35  01.06.35-Pa-5060-2-1 ..  -5.662302    1000     Ethernet
01.12.20  01.12.20                 -2.615366    Duplex     01.11.41  01.11.41                 -2.391254    10000    Ethernet
01.12.41  01.12.41                 -2.368716    Duplex     01.07.27  01.07.27-4506e2-te2. ..  -2.803373    10000    Ethernet
01.12.42  01.12.42                 -4.032930    Duplex     01.03.43  01.03.43-3850-mgmt-g ..  -2.454988    10000    Ethernet
01.01.39  01.01.39-2951-1-g0.0     Not Present  Duplex     01.03.39  01.03.39-4506e-2-g3. ..  -6.354490    CU1000   Ethernet
01.07.48  01.07.48-XM12-te2.8      -2.128230    Duplex     01.02.45  01.02.45-asr9k-2-te0 ..  -2.868456    10000    Ethernet
01.11.38  01.11.38                 -1.807194    Duplex     01.01.48  01.01.48                 -2.543788    10000    Ethernet
01.12.05  01.12.05                 Not Present  Duplex     01.02.33  01.02.33 3945-1 ge01     -6.120765    CU1000   Ethernet
01.12.31  01.12.31                 -2.320283    Duplex     01.02.47  01.02.47-asr9k-1-te0 ..  -2.772016    10000    Ethernet

