Switch: OS192_103 [ 1 ]

GEO addr  Name (>20 ..)            Rx Pwr(dBm)  Conn Type  GEO addr  Name (>20 ..)            Rx Pwr(dBm)  Speed    Protocol
--------  -----------------------  -----------  ---------  --------  -----------------------  -----------  -------  --------
01.02.01  192 01.02.01             N/A          Duplex     01.01.01  192 01.01.01             N/A          Unknown  Unknown
01.02.02  192 01.02.02             N/A          Duplex     01.01.02  192 01.01.02             N/A          Unknown  Unknown
01.02.03  192 01.02.03             N/A          Duplex     01.01.03  192 01.01.03             N/A          Unknown  Unknown
01.02.04  192 01.02.04             N/A          Duplex     01.01.04  192 01.01.04             N/A          Unknown  Unknown
01.02.05  192 01.02.05             N/A          Duplex     01.01.05  192 01.01.05             N/A          Unknown  Unknown
01.02.06  192 01.02.06             N/A          Duplex     01.01.06  192 01.01.06             N/A          Unknown  Unknown
01.02.07  192 01.02.07             N/A          Duplex     01.01.07  192 01.01.07             N/A          Unknown  Unknown
01.02.08  192 01.02.08             N/A          Duplex     01.01.08  192 01.01.08             N/A          Unknown  Unknown
01.02.09  192 01.02.09             N/A          Duplex     01.01.09  192 01.01.09             N/A          Unknown  Unknown
01.02.10  192 01.02.10             N/A          Duplex     01.01.10  192 01.01.10             N/A          Unknown  Unknown
01.02.11  192 01.02.11             N/A          Duplex     01.01.11  192 01.01.11             N/A          Unknown  Unknown
01.02.12  192 01.02.12             N/A          Duplex     01.01.12  192 01.01.12             N/A          Unknown  Unknown
01.02.13  192 01.02.13             N/A          Duplex     01.01.13  192 01.01.13             N/A          Unknown  Unknown
01.02.14  192 01.02.14             N/A          Duplex     01.01.14  192 01.01.14             N/A          Unknown  Unknown
01.02.15  192 01.02.15             N/A          Duplex     01.01.15  192 01.01.15             N/A          Unknown  Unknown
01.02.16  192 01.02.16             N/A          Duplex     01.01.16  192 01.01.16             N/A          Unknown  Unknown
01.02.17  192 01.02.17             N/A          Duplex     01.01.17  192 01.01.17             N/A          Unknown  Unknown
01.02.18  192 01.02.18             N/A          Duplex     01.01.18  192 01.01.18             N/A          Unknown  Unknown
01.02.19  192 01.02.19             N/A          Duplex     01.01.19  192 01.01.19             N/A          Unknown  Unknown
01.02.20  192 01.02.20             N/A          Duplex     01.01.20  192 01.01.20             N/A          Unknown  Unknown
01.02.21  192 01.02.21             N/A          Duplex     01.01.21  192 01.01.21             N/A          Unknown  Unknown
01.02.22  192 01.02.22             N/A          Duplex     01.01.22  192 01.01.22             N/A          Unknown  Unknown
01.02.23  192 01.02.23             N/A          Duplex     01.01.23  192 01.01.23             N/A          Unknown  Unknown
01.02.24  192 01.02.24             N/A          Duplex     01.01.24  192 01.01.24             N/A          Unknown  Unknown
01.02.25  192 01.02.25             N/A          Duplex     01.01.25  192 01.01.25             N/A          Unknown  Unknown
01.02.26  192 01.02.26             N/A          Duplex     01.01.26  192 01.01.26             N/A          Unknown  Unknown
01.02.27  192 01.02.27             N/A          Duplex     01.01.27  192 01.01.27             N/A          Unknown  Unknown
01.02.28  192 01.02.28             N/A          Duplex     01.01.28  192 01.01.28             N/A          Unknown  Unknown
01.02.29  192 01.02.29             N/A          Duplex     01.01.29  192 01.01.29             N/A          Unknown  Unknown
01.02.30  192 01.02.30             N/A          Duplex     01.01.30  192 01.01.30             N/A          Unknown  Unknown
01.02.31  192 01.02.31             N/A          Duplex     01.01.31  192 01.01.31             N/A          Unknown  Unknown
01.02.32  192 01.02.32             N/A          Duplex     01.01.32  192 01.01.32             N/A          Unknown  Unknown
