
Port summary for switch OS-192:

Phys Addr  Status         Name                     Lock*  Tx Pwr(dBm)  Rx Pwr(dBm)  Speed    Protocol
---------  -------------  -----------------------  -----  -----------  -----------  -------  ---------
01.01.01   Not Connected  OS-192 01.01.01                 N/A          N/A          Unknown  Unknown
01.01.02   Not Connected  OS-192 01.01.02                 N/A          N/A          Unknown  Unknown
01.01.03   Not Connected  OS-192 01.01.03                 N/A          N/A          Unknown  Unknown
01.01.04   Not Connected  OS-192 01.01.04                 N/A          N/A          Unknown  Unknown
01.01.05   Not Connected  OS-192 01.01.05                 N/A          N/A          Unknown  Unknown
01.01.06   Not Connected  OS-192 01.01.06                 N/A          N/A          Unknown  Unknown
01.01.07   Not Connected  OS-192 01.01.07                 N/A          N/A          Unknown  Unknown
01.01.08   Not Connected  OS-192 01.01.08                 N/A          N/A          Unknown  Unknown
01.01.09   Not Connected  OS-192 01.01.09                 N/A          N/A          Unknown  Unknown
01.01.10   Not Connected  OS-192 01.01.10                 N/A          N/A          Unknown  Unknown
01.01.11   Not Connected  OS-192 01.01.11                 N/A          N/A          Unknown  Unknown
01.01.12   Not Connected  OS-192 01.01.12                 N/A          N/A          Unknown  Unknown
01.01.13   Not Connected  OS-192 01.01.13                 N/A          N/A          Unknown  Unknown
01.01.14   Not Connected  OS-192 01.01.14                 N/A          N/A          Unknown  Unknown
01.01.15   Not Connected  OS-192 01.01.15                 N/A          N/A          Unknown  Unknown
01.01.16   Not Connected  OS-192 01.01.16                 N/A          N/A          Unknown  Unknown
01.01.17   Not Connected  OS-192 01.01.17                 N/A          N/A          Unknown  Unknown
01.01.18   Not Connected  OS-192 01.01.18                 N/A          N/A          Unknown  Unknown
01.01.19   Not Connected  OS-192 01.01.19                 N/A          N/A          Unknown  Unknown
01.01.20   Not Connected  OS-192 01.01.20                 N/A          N/A          Unknown  Unknown
01.01.21   Not Connected  OS-192 01.01.21                 N/A          N/A          Unknown  Unknown
01.01.22   Not Connected  OS-192 01.01.22                 N/A          N/A          Unknown  Unknown
01.01.23   Not Connected  OS-192 01.01.23                 N/A          N/A          Unknown  Unknown
01.01.24   Not Connected  OS-192 01.01.24                 N/A          N/A          Unknown  Unknown
01.01.25   Not Connected  OS-192 01.01.25                 N/A          N/A          Unknown  Unknown
01.01.26   Not Connected  OS-192 01.01.26                 N/A          N/A          Unknown  Unknown
01.01.27   Not Connected  OS-192 01.01.27                 N/A          N/A          Unknown  Unknown
01.01.28   Not Connected  OS-192 01.01.28                 N/A          N/A          Unknown  Unknown
01.01.29   Not Connected  OS-192 01.01.29                 N/A          N/A          Unknown  Unknown
01.01.30   Not Connected  OS-192 01.01.30                 N/A          N/A          Unknown  Unknown
01.01.31   Not Connected  OS-192 01.01.31                 N/A          N/A          Unknown  Unknown
01.01.32   Not Connected  OS-192 01.01.32                 N/A          N/A          Unknown  Unknown
01.01.33   Not Connected  OS-192 01.01.33                 N/A          N/A          Unknown  Unknown
01.01.34   Not Connected  OS-192 01.01.34                 N/A          N/A          Unknown  Unknown
01.01.35   Not Connected  OS-192 01.01.35                 N/A          N/A          Unknown  Unknown
01.01.36   Not Connected  OS-192 01.01.36                 N/A          N/A          Unknown  Unknown
01.01.37   Not Connected  OS-192 01.01.37                 N/A          N/A          Unknown  Unknown
01.01.38   Not Connected  OS-192 01.01.38                 N/A          N/A          Unknown  Unknown
01.01.39   Not Connected  OS-192 01.01.39                 N/A          N/A          Unknown  Unknown
01.01.40   Not Connected  OS-192 01.01.40                 N/A          N/A          Unknown  Unknown
01.01.41   Not Connected  OS-192 01.01.41                 N/A          N/A          Unknown  Unknown
01.01.42   Not Connected  OS-192 01.01.42                 N/A          N/A          Unknown  Unknown
01.01.43   Not Connected  OS-192 01.01.43                 N/A          N/A          Unknown  Unknown
01.01.44   Not Connected  OS-192 01.01.44                 N/A          N/A          Unknown  Unknown
01.01.45   Not Connected  OS-192 01.01.45                 N/A          N/A          Unknown  Unknown
01.01.46   Not Connected  OS-192 01.01.46                 N/A          N/A          Unknown  Unknown
01.01.47   Not Connected  OS-192 01.01.47                 N/A          N/A          Unknown  Unknown
01.01.48   Not Connected  OS-192 01.01.48                 N/A          N/A          Unknown  Unknown
01.01.49   Not Connected  OS-192 01.01.49                 N/A          N/A          Unknown  Unknown
01.01.50   Not Connected  OS-192 01.01.50                 N/A          N/A          Unknown  Unknown
01.01.51   Not Connected  OS-192 01.01.51                 N/A          N/A          Unknown  Unknown
01.01.52   Not Connected  OS-192 01.01.52                 N/A          N/A          Unknown  Unknown
01.01.53   Not Connected  OS-192 01.01.53                 N/A          N/A          Unknown  Unknown
01.01.54   Not Connected  OS-192 01.01.54                 N/A          N/A          Unknown  Unknown
01.01.55   Not Connected  OS-192 01.01.55                 N/A          N/A          Unknown  Unknown
01.01.56   Not Connected  OS-192 01.01.56                 N/A          N/A          Unknown  Unknown
01.01.57   Not Connected  OS-192 01.01.57                 N/A          N/A          Unknown  Unknown
01.01.58   Not Connected  OS-192 01.01.58                 N/A          N/A          Unknown  Unknown
01.01.59   Not Connected  OS-192 01.01.59                 N/A          N/A          Unknown  Unknown
01.01.60   Not Connected  OS-192 01.01.60                 N/A          N/A          Unknown  Unknown
01.01.61   Not Connected  OS-192 01.01.61                 N/A          N/A          Unknown  Unknown
01.01.62   Not Connected  OS-192 01.01.62                 N/A          N/A          Unknown  Unknown
01.01.63   Not Connected  OS-192 01.01.63                 N/A          N/A          Unknown  Unknown
01.01.64   Not Connected  OS-192 01.01.64                 N/A          N/A          Unknown  Unknown
01.01.65   Not Connected  OS-192 01.01.65                 N/A          N/A          Unknown  Unknown
01.01.66   Not Connected  OS-192 01.01.66                 N/A          N/A          Unknown  Unknown
01.01.67   Not Connected  OS-192 01.01.67                 N/A          N/A          Unknown  Unknown
01.01.68   Not Connected  OS-192 01.01.68                 N/A          N/A          Unknown  Unknown
01.01.69   Not Connected  OS-192 01.01.69                 N/A          N/A          Unknown  Unknown
01.01.70   Not Connected  OS-192 01.01.70                 N/A          N/A          Unknown  Unknown
01.01.71   Not Connected  OS-192 01.01.71                 N/A          N/A          Unknown  Unknown
01.01.72   Not Connected  OS-192 01.01.72                 N/A          N/A          Unknown  Unknown
01.01.73   Not Connected  OS-192 01.01.73                 N/A          N/A          Unknown  Unknown
01.01.74   Not Connected  OS-192 01.01.74                 N/A          N/A          Unknown  Unknown
01.01.75   Not Connected  OS-192 01.01.75                 N/A          N/A          Unknown  Unknown
01.01.76   Not Connected  OS-192 01.01.76                 N/A          N/A          Unknown  Unknown
01.01.77   Not Connected  OS-192 01.01.77                 N/A          N/A          Unknown  Unknown
01.01.78   Not Connected  OS-192 01.01.78                 N/A          N/A          Unknown  Unknown
01.01.79   Not Connected  OS-192 01.01.79                 N/A          N/A          Unknown  Unknown
01.01.80   Not Connected  OS-192 01.01.80                 N/A          N/A          Unknown  Unknown
01.01.81   Not Connected  OS-192 01.01.81                 N/A          N/A          Unknown  Unknown
01.01.82   Not Connected  OS-192 01.01.82                 N/A          N/A          Unknown  Unknown
01.01.83   Not Connected  OS-192 01.01.83                 N/A          N/A          Unknown  Unknown
01.01.84   Not Connected  OS-192 01.01.84                 N/A          N/A          Unknown  Unknown
01.01.85   Not Connected  OS-192 01.01.85                 N/A          N/A          Unknown  Unknown
01.01.86   Not Connected  OS-192 01.01.86                 N/A          N/A          Unknown  Unknown
01.01.87   Not Connected  OS-192 01.01.87                 N/A          N/A          Unknown  Unknown
01.01.88   Not Connected  OS-192 01.01.88                 N/A          N/A          Unknown  Unknown
01.01.89   Not Connected  OS-192 01.01.89                 N/A          N/A          Unknown  Unknown
01.01.90   Not Connected  OS-192 01.01.90                 N/A          N/A          Unknown  Unknown
01.01.91   Not Connected  OS-192 01.01.91                 N/A          N/A          Unknown  Unknown
01.01.92   Not Connected  OS-192 01.01.92                 N/A          N/A          Unknown  Unknown
01.01.93   Not Connected  OS-192 01.01.93                 N/A          N/A          Unknown  Unknown
01.01.94   Not Connected  OS-192 01.01.94                 N/A          N/A          Unknown  Unknown
01.01.95   Not Connected  OS-192 01.01.95                 N/A          N/A          Unknown  Unknown
01.01.96   Not Connected  OS-192 01.01.96                 N/A          N/A          Unknown  Unknown
01.02.01   Not Connected  OS-192 01.02.01                 N/A          N/A          Unknown  Unknown
01.02.02   Not Connected  OS-192 01.02.02                 N/A          N/A          Unknown  Unknown
01.02.03   Not Connected  OS-192 01.02.03                 N/A          N/A          Unknown  Unknown
01.02.04   Not Connected  OS-192 01.02.04                 N/A          N/A          Unknown  Unknown
01.02.05   Not Connected  OS-192 01.02.05                 N/A          N/A          Unknown  Unknown
01.02.06   Not Connected  OS-192 01.02.06                 N/A          N/A          Unknown  Unknown
01.02.07   Not Connected  OS-192 01.02.07                 N/A          N/A          Unknown  Unknown
01.02.08   Not Connected  OS-192 01.02.08                 N/A          N/A          Unknown  Unknown
01.02.09   Not Connected  OS-192 01.02.09                 N/A          N/A          Unknown  Unknown
01.02.10   Not Connected  OS-192 01.02.10                 N/A          N/A          Unknown  Unknown
01.02.11   Not Connected  OS-192 01.02.11                 N/A          N/A          Unknown  Unknown
01.02.12   Not Connected  OS-192 01.02.12                 N/A          N/A          Unknown  Unknown
01.02.13   Not Connected  OS-192 01.02.13                 N/A          N/A          Unknown  Unknown
01.02.14   Not Connected  OS-192 01.02.14                 N/A          N/A          Unknown  Unknown
01.02.15   Not Connected  OS-192 01.02.15                 N/A          N/A          Unknown  Unknown
01.02.16   Not Connected  OS-192 01.02.16                 N/A          N/A          Unknown  Unknown
01.02.17   Not Connected  OS-192 01.02.17                 N/A          N/A          Unknown  Unknown
01.02.18   Not Connected  OS-192 01.02.18                 N/A          N/A          Unknown  Unknown
01.02.19   Not Connected  OS-192 01.02.19                 N/A          N/A          Unknown  Unknown
01.02.20   Not Connected  OS-192 01.02.20                 N/A          N/A          Unknown  Unknown
01.02.21   Not Connected  OS-192 01.02.21                 N/A          N/A          Unknown  Unknown
01.02.22   Not Connected  OS-192 01.02.22                 N/A          N/A          Unknown  Unknown
01.02.23   Not Connected  OS-192 01.02.23                 N/A          N/A          Unknown  Unknown
01.02.24   Not Connected  OS-192 01.02.24                 N/A          N/A          Unknown  Unknown
01.02.25   Not Connected  OS-192 01.02.25                 N/A          N/A          Unknown  Unknown
01.02.26   Not Connected  OS-192 01.02.26                 N/A          N/A          Unknown  Unknown
01.02.27   Not Connected  OS-192 01.02.27                 N/A          N/A          Unknown  Unknown
01.02.28   Not Connected  OS-192 01.02.28                 N/A          N/A          Unknown  Unknown
01.02.29   Not Connected  OS-192 01.02.29                 N/A          N/A          Unknown  Unknown
01.02.30   Not Connected  OS-192 01.02.30                 N/A          N/A          Unknown  Unknown
01.02.31   Not Connected  OS-192 01.02.31                 N/A          N/A          Unknown  Unknown
01.02.32   Not Connected  OS-192 01.02.32                 N/A          N/A          Unknown  Unknown
01.02.33   Not Connected  OS-192 01.02.33                 N/A          N/A          Unknown  Unknown
01.02.34   Not Connected  OS-192 01.02.34                 N/A          N/A          Unknown  Unknown
01.02.35   Not Connected  OS-192 01.02.35                 N/A          N/A          Unknown  Unknown
01.02.36   Not Connected  OS-192 01.02.36                 N/A          N/A          Unknown  Unknown
01.02.37   Not Connected  OS-192 01.02.37                 N/A          N/A          Unknown  Unknown
01.02.38   Not Connected  OS-192 01.02.38                 N/A          N/A          Unknown  Unknown
01.02.39   Not Connected  OS-192 01.02.39                 N/A          N/A          Unknown  Unknown
01.02.40   Not Connected  OS-192 01.02.40                 N/A          N/A          Unknown  Unknown
01.02.41   Not Connected  OS-192 01.02.41                 N/A          N/A          Unknown  Unknown
